股票代號,股票名稱,股數,持股權重
2330,台積電,"11,884,000",9.87%
2383,台光電,"4,807,000",9.11%
3037,欣興,"20,300,000",8.25%
3017,奇鋐,"5,979,000",6.88%
2454,聯發科,"5,148,000",6.85%
6669,緯穎,"2,226,000",5.23%
2327,國巨*,"25,387,000",4.85%
2345,智邦,"6,564,000",4.73%
3653,健策,"2,407,000",4.68%
2308,台達電,"7,250,000",4.42%
6223,旺矽,"2,486,000",4.36%
8046,南電,"9,624,000",4.29%
3711,日月光投控,"19,479,000",4.06%
2303,聯電,"89,518,000",3.65%
3665,貿聯-KY,"4,671,848",3.31%
6274,台燿,"5,498,000",2.74%
5274,信驊,"341,900",1.8%
6805,富世達,"2,264,000",1.74%
2449,京元電子,"11,775,450",1%
8210,勤誠,"2,477,000",0.82%
2368,金像電,"1,957,000",0.69%
4979,華星光,"3,173,000",0.67%
3443,創意,"325,000",0.66%
8996,高力,"1,301,000",0.59%
3264,欣銓,"5,917,000",0.45%
6510,精測,"477,000",0.45%
4958,臻鼎-KY,"1,645,000",0.27%
6278,台表科,"3,249,000",0.23%
6271,同欣電,"2,223,000",0.16%
6187,萬潤,"283,000",0.14%
3376,新日興,"1,741,000",0.13%
6191,精成科,"3,988,000",0.11%
4966,譜瑞-KY,"140,000",0.03%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
2408,南亞科,"1,000",0%
2637,慧洋-KY,"1,000",0%
6515,穎崴,"1,000",0%
2360,致茂,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
