股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",9.8%
2327,國巨*,"23,892,000",8.6%
2383,台光電,"4,486,000",8.55%
2454,聯發科,"5,037,000",7.4%
6223,旺矽,"2,352,000",5.79%
2345,智邦,"6,334,000",5.16%
2303,聯電,"83,532,000",5.1%
3017,奇鋐,"5,191,000",4.5%
3037,欣興,"13,307,000",4.25%
2308,台達電,"5,910,000",4.05%
6669,緯穎,"2,417,000",3.82%
2368,金像電,"8,315,000",3.58%
3665,貿聯-KY,"4,833,848",3.32%
3711,日月光投控,"14,158,000",3.17%
6274,台燿,"5,058,000",3.06%
8046,南電,"8,917,000",2.92%
3653,健策,"2,267,000",2.83%
5274,信驊,"422,000",2.65%
6515,穎崴,"348,000",1.13%
6805,富世達,"1,811,000",1.12%
6510,精測,"930,000",1.1%
8210,勤誠,"2,267,000",1.03%
2449,京元電子,"6,484,000",0.74%
3533,嘉澤,"852,000",0.65%
2317,鴻海,"7,307,000",0.64%
6147,頎邦,"6,275,000",0.54%
6187,萬潤,"1,334,000",0.48%
5439,高技,"3,528,000",0.39%
4966,譜瑞-KY,"1,642,000",0.37%
6278,台表科,"4,334,000",0.3%
6271,同欣電,"2,966,000",0.26%
1590,亞德客-KY,"530,000",0.25%
8358,金居,"980,000",0.21%
8996,高力,"354,000",0.18%
6191,精成科,"3,988,000",0.13%
3264,欣銓,"1,508,000",0.12%
3376,新日興,"1,741,000",0.12%
6488,環球晶,"350,000",0.12%
2002,中鋼,"5,163,000",0.03%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
3443,創意,"1,000",0%
2439,美律,"18,000",0%
3008,大立光,"1,000",0%
4958,臻鼎-KY,"1,000",0%
2382,廣達,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
