股票代號,股票名稱,股數,持股權重
2330,台積電,"10,740,000",9.71%
2383,台光電,"4,715,000",8.34%
2454,聯發科,"5,200,000",6.89%
3037,欣興,"17,833,000",5.23%
2345,智邦,"6,419,000",5.09%
6669,緯穎,"2,449,000",4.92%
6223,旺矽,"2,443,000",4.81%
2327,國巨*,"25,437,000",4.76%
3017,奇鋐,"5,496,000",4.75%
2303,聯電,"87,718,000",3.95%
3665,貿聯-KY,"4,898,848",3.83%
2308,台達電,"5,642,000",3.54%
3711,日月光投控,"16,327,000",3.38%
8046,南電,"9,519,000",3.27%
3653,健策,"2,297,000",2.95%
5274,信驊,"454,900",2.46%
2368,金像電,"7,579,000",2.24%
6274,台燿,"5,229,000",2.16%
6805,富世達,"1,957,000",0.99%
8210,勤誠,"2,297,000",0.9%
2449,京元電子,"7,543,450",0.63%
6187,萬潤,"1,334,000",0.46%
1590,亞德客-KY,"528,000",0.29%
4979,華星光,"1,874,000",0.27%
6510,精測,"289,000",0.27%
4958,臻鼎-KY,"1,682,000",0.26%
6515,穎崴,"93,000",0.2%
6278,台表科,"3,610,000",0.19%
6271,同欣電,"2,470,000",0.15%
6147,頎邦,"2,822,000",0.14%
6191,精成科,"3,988,000",0.13%
2408,南亞科,"940,000",0.13%
3376,新日興,"1,741,000",0.11%
3264,欣銓,"1,508,000",0.1%
5439,高技,"526,000",0.04%
2002,中鋼,"5,163,000",0.04%
4966,譜瑞-KY,"140,000",0.03%
8996,高力,"1,000",0%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
