股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",9.73%
2383,台光電,"4,486,000",8.26%
2454,聯發科,"4,649,000",6.87%
2327,國巨*,"21,168,000",6.44%
2345,智邦,"6,334,000",5.21%
2308,台達電,"6,572,000",5.13%
6223,旺矽,"2,169,000",4.78%
6669,緯穎,"2,492,000",4.41%
3017,奇鋐,"5,191,000",4.38%
2368,金像電,"8,315,000",4.04%
3037,欣興,"12,466,000",3.85%
3665,貿聯-KY,"4,783,848",3.74%
3711,日月光投控,"17,948,000",3.53%
2303,聯電,"73,690,000",3.33%
8046,南電,"10,828,000",3.16%
3653,健策,"2,267,000",2.97%
5274,信驊,"422,000",2.69%
6274,台燿,"4,763,000",2.54%
6515,穎崴,"442,000",1.39%
8210,勤誠,"2,267,000",1.18%
6510,精測,"930,000",1.14%
6805,富世達,"1,761,000",1.11%
2317,鴻海,"7,307,000",0.68%
3533,嘉澤,"852,000",0.66%
2404,漢唐,"1,200,000",0.52%
6187,萬潤,"1,334,000",0.5%
6147,頎邦,"5,775,000",0.46%
5439,高技,"3,528,000",0.44%
8996,高力,"1,034,000",0.43%
8150,南茂,"11,635,000",0.41%
4966,譜瑞-KY,"1,642,000",0.39%
2449,京元電子,"3,645,000",0.36%
6278,台表科,"3,734,000",0.26%
3443,創意,"167,000",0.25%
1590,亞德客-KY,"530,000",0.24%
8358,金居,"980,000",0.19%
6191,精成科,"3,988,000",0.13%
3376,新日興,"1,741,000",0.13%
6271,同欣電,"686,000",0.05%
2002,中鋼,"5,163,000",0.03%
2313,華通,"329,000",0.03%
1319,東陽,"278,000",0.01%
3264,欣銓,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
