股票代號,股票名稱,股數,持股權重
2330,台積電,"11,840,000",10.21%
2383,台光電,"4,653,000",8.57%
2454,聯發科,"5,131,000",7.1%
2327,國巨*,"25,098,000",6.34%
3037,欣興,"16,971,000",5.53%
6223,旺矽,"2,443,000",5.27%
2345,智邦,"6,334,000",5.2%
6669,緯穎,"2,417,000",4.78%
8046,南電,"9,519,000",4.46%
3017,奇鋐,"5,423,000",4.41%
2303,聯電,"86,550,000",4.32%
3711,日月光投控,"16,327,000",3.85%
2308,台達電,"5,567,000",3.76%
3665,貿聯-KY,"4,833,848",3.67%
3653,健策,"2,267,000",2.85%
2368,金像電,"8,315,000",2.81%
6274,台燿,"5,160,000",2.51%
5274,信驊,"448,900",2.5%
6805,富世達,"1,881,000",0.94%
8210,勤誠,"2,267,000",0.94%
2449,京元電子,"7,089,000",0.75%
6187,萬潤,"1,334,000",0.51%
6147,頎邦,"5,229,000",0.36%
4958,臻鼎-KY,"1,682,000",0.34%
6510,精測,"349,000",0.34%
1590,亞德客-KY,"528,000",0.27%
6278,台表科,"4,334,000",0.26%
5439,高技,"2,646,000",0.24%
6271,同欣電,"2,966,000",0.22%
6515,穎崴,"93,000",0.22%
2408,南亞科,"940,000",0.15%
6191,精成科,"3,988,000",0.13%
3264,欣銓,"1,508,000",0.12%
3376,新日興,"1,741,000",0.12%
4966,譜瑞-KY,"140,000",0.03%
2002,中鋼,"5,163,000",0.03%
8996,高力,"1,000",0%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
