股票代號,股票名稱,股數,持股權重
2330,台積電,"11,959,000",9.3%
2383,台光電,"4,863,000",8.38%
2454,聯發科,"5,448,000",7.06%
3037,欣興,"20,210,000",6.26%
6669,緯穎,"2,708,000",5.63%
3017,奇鋐,"5,801,000",5.06%
2345,智邦,"6,419,000",4.99%
6223,旺矽,"2,443,000",4.83%
2327,國巨*,"25,437,000",4.83%
3665,貿聯-KY,"5,130,848",3.96%
2303,聯電,"87,718,000",3.48%
8046,南電,"9,519,000",3.33%
3653,健策,"2,375,000",3.3%
2308,台達電,"5,932,000",3.22%
3711,日月光投控,"16,327,000",3.2%
6274,台燿,"5,499,000",2.47%
5274,信驊,"454,900",2.36%
2368,金像電,"7,579,000",2.28%
6805,富世達,"1,957,000",1.04%
2449,京元電子,"11,295,450",0.93%
8210,勤誠,"2,297,000",0.89%
6187,萬潤,"1,334,000",0.49%
2360,致茂,"472,000",0.3%
4979,華星光,"1,874,000",0.28%
1590,亞德客-KY,"528,000",0.25%
4958,臻鼎-KY,"1,682,000",0.25%
6510,精測,"261,000",0.24%
6515,穎崴,"93,000",0.2%
6278,台表科,"3,250,000",0.17%
8996,高力,"412,000",0.14%
2408,南亞科,"940,000",0.14%
6271,同欣電,"2,224,000",0.13%
2049,上銀,"1,080,000",0.12%
6191,精成科,"3,988,000",0.11%
3264,欣銓,"1,508,000",0.1%
3376,新日興,"1,741,000",0.1%
4966,譜瑞-KY,"140,000",0.03%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
