股票代號,股票名稱,股數,持股權重
2330,台積電,"11,884,000",9.9%
2383,台光電,"4,843,000",9.85%
3037,欣興,"20,300,000",8.12%
2454,聯發科,"5,148,000",7.01%
3017,奇鋐,"5,979,000",6.51%
6669,緯穎,"2,226,000",5.21%
3653,健策,"2,407,000",4.75%
2327,國巨*,"25,387,000",4.7%
2345,智邦,"6,564,000",4.65%
6223,旺矽,"2,486,000",4.32%
2308,台達電,"7,040,000",4.25%
3711,日月光投控,"19,479,000",3.98%
8046,南電,"9,624,000",3.92%
2303,聯電,"89,518,000",3.81%
3665,貿聯-KY,"4,671,848",3.23%
6274,台燿,"5,498,000",2.9%
5274,信驊,"383,900",2.08%
6805,富世達,"2,264,000",1.58%
2449,京元電子,"11,275,450",0.95%
8210,勤誠,"2,477,000",0.83%
2368,金像電,"1,957,000",0.7%
3443,創意,"325,000",0.69%
8996,高力,"1,301,000",0.54%
4979,華星光,"2,424,000",0.5%
3264,欣銓,"5,917,000",0.44%
6510,精測,"477,000",0.43%
4958,臻鼎-KY,"1,645,000",0.26%
6278,台表科,"3,249,000",0.22%
6187,萬潤,"483,000",0.22%
6271,同欣電,"2,223,000",0.16%
3376,新日興,"1,741,000",0.12%
6191,精成科,"3,988,000",0.11%
4966,譜瑞-KY,"140,000",0.03%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
2408,南亞科,"1,000",0%
2637,慧洋-KY,"1,000",0%
6515,穎崴,"1,000",0%
2360,致茂,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
