股票代號,股票名稱,股數,持股權重
2330,台積電,"10,740,000",9.86%
2383,台光電,"4,653,000",7.96%
2454,聯發科,"5,131,000",6.75%
2327,國巨*,"25,098,000",5.31%
6669,緯穎,"2,417,000",5.18%
2345,智邦,"6,334,000",5.05%
6223,旺矽,"2,443,000",4.88%
3037,欣興,"16,971,000",4.87%
3017,奇鋐,"5,423,000",4.74%
3665,貿聯-KY,"4,833,848",4.22%
2303,聯電,"86,550,000",3.7%
8046,南電,"9,519,000",3.49%
2308,台達電,"5,567,000",3.47%
3711,日月光投控,"16,327,000",3.4%
3653,健策,"2,267,000",3.13%
5274,信驊,"448,900",2.42%
2368,金像電,"7,478,000",2.28%
6274,台燿,"5,160,000",2.2%
6805,富世達,"1,931,000",1.02%
8210,勤誠,"2,267,000",0.93%
2449,京元電子,"7,443,450",0.66%
6187,萬潤,"1,334,000",0.5%
6510,精測,"319,000",0.32%
4979,華星光,"1,874,000",0.3%
1590,亞德客-KY,"528,000",0.29%
4958,臻鼎-KY,"1,682,000",0.28%
6278,台表科,"3,972,000",0.23%
6515,穎崴,"93,000",0.21%
6147,頎邦,"3,764,000",0.2%
6271,同欣電,"2,718,000",0.17%
2408,南亞科,"940,000",0.14%
6191,精成科,"3,988,000",0.13%
3376,新日興,"1,741,000",0.12%
3264,欣銓,"1,508,000",0.11%
5439,高技,"1,056,000",0.09%
2002,中鋼,"5,163,000",0.04%
4966,譜瑞-KY,"140,000",0.03%
8996,高力,"1,000",0%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
