股票代號,股票名稱,股數,持股權重
2330,台積電,"11,157,000",9.31%
2383,台光電,"4,605,000",8.45%
2345,智邦,"6,231,000",5.74%
2454,聯發科,"4,463,000",5.68%
2308,台達電,"6,218,000",5.1%
3665,貿聯-KY,"4,703,848",4.79%
2368,金像電,"8,260,000",4.43%
8046,南電,"12,658,000",4.41%
3017,奇鋐,"4,082,000",3.69%
3653,健策,"2,267,000",3.62%
6223,旺矽,"1,922,000",3.53%
5274,信驊,"483,000",3.35%
6669,緯穎,"1,819,000",3.35%
3037,欣興,"10,387,000",3.3%
3711,日月光投控,"11,259,000",2.19%
2327,國巨*,"17,221,000",2.16%
6274,台燿,"3,778,000",1.84%
6515,穎崴,"422,000",1.59%
2303,聯電,"46,374,000",1.57%
2449,京元電子,"12,919,000",1.57%
2317,鴻海,"14,177,000",1.32%
6510,精測,"930,000",1.31%
6805,富世達,"1,761,000",1.23%
3443,創意,"616,000",1.13%
3189,景碩,"5,360,000",0.96%
8358,金居,"5,558,000",0.95%
3264,欣銓,"8,608,000",0.72%
8210,勤誠,"1,340,000",0.66%
6187,萬潤,"1,224,000",0.55%
6147,頎邦,"7,985,000",0.52%
3661,世芯-KY,"296,000",0.5%
5439,高技,"3,228,000",0.49%
8996,高力,"1,034,000",0.45%
2404,漢唐,"1,093,000",0.4%
1590,亞德客-KY,"530,000",0.28%
2313,華通,"2,624,000",0.24%
2357,華碩,"975,000",0.23%
2337,旺宏,"3,056,000",0.19%
6191,精成科,"3,988,000",0.15%
2481,強茂,"3,654,000",0.14%
3376,新日興,"1,741,000",0.13%
6415,矽力*-KY,"660,000",0.1%
4966,譜瑞-KY,"386,000",0.08%
3217,優群,"874,000",0.06%
2002,中鋼,"5,163,000",0.04%
8150,南茂,"468,000",0.02%
1319,東陽,"511,000",0.01%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
5347,世界,"63,000",0%
