股票代號,股票名稱,股數,持股權重
2330,台積電,"11,840,000",10.41%
2383,台光電,"4,653,000",8.28%
2454,聯發科,"5,131,000",7.2%
2327,國巨*,"25,098,000",6.03%
3037,欣興,"16,971,000",5.33%
2345,智邦,"6,334,000",5.26%
6223,旺矽,"2,443,000",5.21%
6669,緯穎,"2,417,000",5.18%
3017,奇鋐,"5,423,000",4.83%
2303,聯電,"86,550,000",4.14%
3665,貿聯-KY,"4,833,848",3.99%
8046,南電,"9,519,000",3.95%
3711,日月光投控,"16,327,000",3.74%
2308,台達電,"5,567,000",3.72%
3653,健策,"2,267,000",2.91%
2368,金像電,"7,478,000",2.52%
5274,信驊,"448,900",2.47%
6274,台燿,"5,160,000",2.41%
6805,富世達,"1,931,000",1.02%
8210,勤誠,"2,267,000",0.93%
2449,京元電子,"7,089,000",0.72%
6187,萬潤,"1,334,000",0.47%
6510,精測,"349,000",0.34%
4958,臻鼎-KY,"1,682,000",0.3%
4979,華星光,"1,874,000",0.3%
1590,亞德客-KY,"528,000",0.28%
6147,頎邦,"4,706,000",0.28%
6278,台表科,"4,334,000",0.26%
5439,高技,"2,646,000",0.23%
6515,穎崴,"93,000",0.22%
6271,同欣電,"2,966,000",0.21%
2408,南亞科,"940,000",0.14%
6191,精成科,"3,988,000",0.13%
3264,欣銓,"1,508,000",0.12%
3376,新日興,"1,741,000",0.12%
2002,中鋼,"5,163,000",0.04%
4966,譜瑞-KY,"140,000",0.03%
8996,高力,"1,000",0%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
