股票代號,股票名稱,股數,持股權重
2330,台積電,"11,014,000",9.31%
2383,台光電,"4,750,000",9.17%
2454,聯發科,"5,088,000",7.71%
3037,欣興,"20,300,000",7%
3017,奇鋐,"5,949,000",6.98%
6669,緯穎,"6,490,561",6%
3653,健策,"2,397,000",4.9%
2345,智邦,"6,464,000",4.9%
2327,國巨*,"24,987,000",4.78%
6223,旺矽,"2,476,000",4.64%
2308,台達電,"7,240,000",4.44%
8046,南電,"9,474,000",4.03%
2303,聯電,"89,118,000",3.98%
3665,貿聯-KY,"4,591,848",3.53%
3711,日月光投控,"16,811,000",3.51%
6274,台燿,"5,398,000",2.7%
5274,信驊,"207,900",1.31%
6805,富世達,"1,731,000",1.29%
2449,京元電子,"12,818,450",1.23%
8210,勤誠,"2,427,000",0.83%
3443,創意,"325,000",0.68%
6510,精測,"561,000",0.68%
4979,華星光,"2,838,000",0.63%
2368,金像電,"1,457,000",0.61%
8996,高力,"1,300,000",0.58%
3264,欣銓,"5,028,000",0.42%
4958,臻鼎-KY,"2,157,000",0.39%
6278,台表科,"3,248,000",0.23%
6271,同欣電,"2,222,000",0.18%
3376,新日興,"1,740,000",0.13%
6515,穎崴,"54,000",0.13%
6191,精成科,"3,988,000",0.12%
2313,華通,"501,000",0.04%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
6187,萬潤,"1,000",0%
2408,南亞科,"1,000",0%
2637,慧洋-KY,"1,000",0%
2360,致茂,"1,000",0%
6488,環球晶,"1,000",0%
4966,譜瑞-KY,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
