股票代號,股票名稱,股數,持股權重
2383,台光電,"4,843,000",10.08%
2330,台積電,"11,884,000",9.82%
3037,欣興,"20,300,000",8.05%
2454,聯發科,"5,148,000",6.62%
3017,奇鋐,"5,899,000",6.12%
2327,國巨*,"25,387,000",4.96%
6669,緯穎,"2,226,000",4.9%
6223,旺矽,"2,486,000",4.88%
2345,智邦,"6,564,000",4.81%
3653,健策,"2,395,000",4.66%
2308,台達電,"7,040,000",4.27%
8046,南電,"9,624,000",4%
3711,日月光投控,"19,479,000",4%
3665,貿聯-KY,"4,671,848",3.66%
2303,聯電,"87,518,000",3.52%
6274,台燿,"5,498,000",3.01%
5274,信驊,"410,900",2.25%
6805,富世達,"2,264,000",1.46%
2449,京元電子,"11,275,450",0.92%
8210,勤誠,"2,477,000",0.83%
2368,金像電,"2,000,000",0.71%
4979,華星光,"2,424,000",0.48%
6510,精測,"477,000",0.46%
3264,欣銓,"5,917,000",0.43%
8996,高力,"1,101,000",0.43%
3443,創意,"142,000",0.28%
4958,臻鼎-KY,"1,645,000",0.26%
2360,致茂,"294,000",0.22%
6187,萬潤,"483,000",0.21%
6278,台表科,"3,249,000",0.2%
6271,同欣電,"2,223,000",0.15%
6191,精成科,"3,988,000",0.11%
3376,新日興,"1,741,000",0.11%
4966,譜瑞-KY,"140,000",0.03%
2002,中鋼,"5,163,000",0.03%
2637,慧洋-KY,"200,000",0.01%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
2408,南亞科,"1,000",0%
6515,穎崴,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
