股票代號,股票名稱,股數,持股權重
2330,台積電,"11,359,000",9.78%
2383,台光電,"4,605,000",8.22%
2454,聯發科,"4,463,000",6.09%
2345,智邦,"6,231,000",5.56%
2308,台達電,"6,572,000",5.44%
3665,貿聯-KY,"4,703,848",4.86%
2368,金像電,"8,260,000",4.13%
8046,南電,"12,658,000",4.06%
6669,緯穎,"2,047,000",4%
6223,旺矽,"2,054,000",3.88%
3017,奇鋐,"4,202,000",3.86%
3037,欣興,"10,387,000",3.19%
3653,健策,"2,267,000",3.11%
5274,信驊,"483,000",3.08%
3711,日月光投控,"13,833,000",2.68%
2327,國巨*,"17,221,000",2.52%
6274,台燿,"4,151,000",2.14%
2303,聯電,"46,374,000",1.59%
6515,穎崴,"422,000",1.53%
2449,京元電子,"12,919,000",1.51%
3443,創意,"764,000",1.5%
2317,鴻海,"14,177,000",1.33%
6805,富世達,"1,761,000",1.31%
6510,精測,"930,000",1.25%
8210,勤誠,"1,540,000",0.82%
3264,欣銓,"9,030,000",0.76%
3189,景碩,"3,744,000",0.64%
3661,世芯-KY,"296,000",0.54%
2404,漢唐,"1,394,000",0.53%
2357,華碩,"1,996,000",0.49%
6187,萬潤,"1,224,000",0.49%
5439,高技,"3,228,000",0.47%
8996,高力,"1,034,000",0.39%
8150,南茂,"11,334,000",0.39%
8358,金居,"1,980,000",0.34%
1590,亞德客-KY,"530,000",0.3%
2313,華通,"2,624,000",0.25%
6191,精成科,"3,988,000",0.14%
2481,強茂,"3,654,000",0.14%
3376,新日興,"1,741,000",0.13%
4966,譜瑞-KY,"486,000",0.12%
6415,矽力*-KY,"660,000",0.11%
3217,優群,"874,000",0.06%
2002,中鋼,"5,163,000",0.04%
1319,東陽,"511,000",0.02%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
2337,旺宏,"8,000",0%
6147,頎邦,"1,000",0%
5347,世界,"1,000",0%
