股票代號,股票名稱,股數,持股權重
2330,台積電,"10,039,000",8.97%
2383,台光電,"4,425,000",8.42%
2345,智邦,"6,031,000",5.75%
2308,台達電,"6,024,000",5.46%
8046,南電,"12,637,000",5.32%
3665,貿聯-KY,"4,583,848",5.31%
3653,健策,"2,267,000",5.1%
2368,金像電,"8,240,000",4.79%
2454,聯發科,"4,363,000",4.77%
3017,奇鋐,"3,902,000",4.63%
6223,旺矽,"1,886,000",3.89%
3037,欣興,"10,226,000",3.78%
6669,緯穎,"1,754,000",3.43%
5274,信驊,"458,000",3.16%
2327,國巨*,"16,954,000",2.25%
3711,日月光投控,"10,859,000",2.17%
6805,富世達,"2,099,000",1.82%
6515,穎崴,"391,000",1.7%
2449,京元電子,"12,719,000",1.61%
6510,精測,"930,000",1.34%
2303,聯電,"40,054,000",1.3%
3661,世芯-KY,"738,000",1.28%
6274,台燿,"3,019,000",1.28%
3189,景碩,"5,358,000",1.18%
2317,鴻海,"10,727,000",0.99%
8358,金居,"5,558,000",0.9%
6147,頎邦,"7,884,000",0.54%
8210,勤誠,"1,117,000",0.53%
5439,高技,"3,130,000",0.5%
8996,高力,"914,000",0.48%
3443,創意,"271,000",0.48%
2404,漢唐,"1,091,000",0.43%
3264,欣銓,"4,897,000",0.4%
6187,萬潤,"684,000",0.35%
1590,亞德客-KY,"500,000",0.3%
2313,華通,"2,543,000",0.26%
2337,旺宏,"2,910,000",0.19%
6191,精成科,"3,986,000",0.16%
2481,強茂,"3,652,000",0.15%
3376,新日興,"1,681,000",0.14%
6415,矽力*-KY,"660,000",0.12%
4966,譜瑞-KY,"371,000",0.09%
3217,優群,"830,000",0.06%
2002,中鋼,"5,161,000",0.04%
1319,東陽,"509,000",0.02%
2357,華碩,"16,000",0%
1815,富喬,"107,000",0%
2439,美律,"16,000",0%
4979,華星光,"1,000",0%
5347,世界,"62,000",0%
