股票代號,股票名稱,股數,持股權重
2330,台積電,"10,714,000",9.25%
2383,台光電,"4,505,000",8.17%
2345,智邦,"6,131,000",5.87%
2454,聯發科,"4,363,000",5.28%
3665,貿聯-KY,"4,623,848",5.1%
2308,台達電,"6,118,000",5.08%
8046,南電,"12,657,000",4.84%
2368,金像電,"8,260,000",4.69%
3653,健策,"2,267,000",4.16%
3017,奇鋐,"3,902,000",4.05%
6223,旺矽,"1,921,000",3.68%
3037,欣興,"10,386,000",3.6%
5274,信驊,"473,000",3.23%
6669,緯穎,"1,769,000",3.23%
2327,國巨*,"17,220,000",2.3%
3711,日月光投控,"11,059,000",2.21%
2449,京元電子,"12,918,000",1.75%
6515,穎崴,"397,000",1.53%
6274,台燿,"3,257,000",1.52%
2303,聯電,"46,374,000",1.48%
6805,富世達,"1,741,000",1.33%
6510,精測,"930,000",1.31%
2317,鴻海,"13,977,000",1.28%
3189,景碩,"5,359,000",1.08%
8358,金居,"5,558,000",0.92%
3443,創意,"488,000",0.9%
3264,欣銓,"6,994,000",0.63%
6187,萬潤,"1,223,000",0.63%
8210,勤誠,"1,117,000",0.54%
6147,頎邦,"7,984,000",0.54%
5439,高技,"3,178,000",0.49%
3661,世芯-KY,"296,000",0.47%
8996,高力,"934,000",0.43%
2404,漢唐,"1,092,000",0.41%
1590,亞德客-KY,"510,000",0.28%
2313,華通,"2,623,000",0.28%
2337,旺宏,"2,956,000",0.18%
6191,精成科,"3,987,000",0.15%
2481,強茂,"3,653,000",0.14%
3376,新日興,"1,711,000",0.13%
6415,矽力*-KY,"660,000",0.11%
4966,譜瑞-KY,"376,000",0.08%
3217,優群,"844,000",0.06%
2002,中鋼,"5,162,000",0.04%
1319,東陽,"510,000",0.01%
8150,南茂,"368,000",0.01%
2357,華碩,"17,000",0%
1815,富喬,"107,000",0%
2439,美律,"17,000",0%
4979,華星光,"1,000",0%
5347,世界,"63,000",0%
