股票代號,股票名稱,股數,持股權重
2330,台積電,"11,359,000",9.62%
2383,台光電,"4,605,000",8.38%
2345,智邦,"6,231,000",5.85%
2454,聯發科,"4,463,000",5.6%
2308,台達電,"6,572,000",5.49%
3665,貿聯-KY,"4,703,848",4.8%
8046,南電,"12,658,000",4.4%
2368,金像電,"8,260,000",4.39%
3017,奇鋐,"4,082,000",3.61%
6223,旺矽,"1,922,000",3.55%
3037,欣興,"10,387,000",3.41%
6669,緯穎,"1,819,000",3.26%
3653,健策,"2,267,000",3.22%
5274,信驊,"483,000",3.17%
3711,日月光投控,"13,833,000",2.74%
2327,國巨*,"17,221,000",2.35%
6274,台燿,"4,151,000",2.2%
2303,聯電,"46,374,000",1.64%
2449,京元電子,"12,919,000",1.61%
3443,創意,"764,000",1.53%
6515,穎崴,"422,000",1.53%
2317,鴻海,"14,177,000",1.32%
6510,精測,"930,000",1.27%
6805,富世達,"1,761,000",1.24%
3189,景碩,"5,360,000",0.97%
8358,金居,"5,558,000",0.96%
3264,欣銓,"9,030,000",0.82%
8210,勤誠,"1,540,000",0.73%
6147,頎邦,"7,985,000",0.56%
3661,世芯-KY,"296,000",0.52%
6187,萬潤,"1,224,000",0.51%
5439,高技,"3,228,000",0.48%
2357,華碩,"1,996,000",0.47%
8996,高力,"1,034,000",0.41%
8150,南茂,"11,334,000",0.41%
2404,漢唐,"1,093,000",0.4%
1590,亞德客-KY,"530,000",0.29%
2313,華通,"2,624,000",0.24%
6191,精成科,"3,988,000",0.15%
3376,新日興,"1,741,000",0.14%
2481,強茂,"3,654,000",0.14%
6415,矽力*-KY,"660,000",0.1%
4966,譜瑞-KY,"386,000",0.09%
3217,優群,"874,000",0.06%
2002,中鋼,"5,163,000",0.04%
1319,東陽,"511,000",0.01%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
2337,旺宏,"8,000",0%
5347,世界,"63,000",0%
