股票代號,股票名稱,股數,持股權重
2330,台積電,"9,693,000",9.46%
2383,台光電,"4,425,000",9.02%
2345,智邦,"6,031,000",5.65%
2308,台達電,"6,024,000",5.24%
2368,金像電,"8,240,000",5.04%
8046,南電,"12,637,000",4.97%
3665,貿聯-KY,"4,377,848",4.96%
3653,健策,"2,267,000",4.84%
3017,奇鋐,"3,902,000",4.77%
2454,聯發科,"4,147,000",4.35%
6223,旺矽,"1,886,000",3.96%
3037,欣興,"9,287,000",3.36%
6669,緯穎,"1,549,000",3.26%
5274,信驊,"373,000",2.57%
2327,國巨*,"15,196,000",2%
6805,富世達,"2,099,000",1.87%
3711,日月光投控,"8,174,000",1.74%
6515,穎崴,"391,000",1.61%
6510,精測,"930,000",1.43%
2449,京元電子,"11,172,000",1.36%
3661,世芯-KY,"738,000",1.32%
6274,台燿,"3,019,000",1.29%
3189,景碩,"5,358,000",1.19%
2317,鴻海,"10,727,000",1.05%
2303,聯電,"32,791,000",1.03%
8358,金居,"5,558,000",0.8%
8210,勤誠,"1,117,000",0.56%
5439,高技,"3,130,000",0.5%
3443,創意,"271,000",0.46%
2404,漢唐,"1,091,000",0.46%
6147,頎邦,"7,884,000",0.44%
3264,欣銓,"4,897,000",0.41%
8996,高力,"535,000",0.25%
7769,鴻勁,"98,000",0.21%
6191,精成科,"3,986,000",0.18%
2481,強茂,"3,652,000",0.16%
3376,新日興,"1,681,000",0.15%
6415,矽力*-KY,"660,000",0.12%
4966,譜瑞-KY,"371,000",0.1%
6488,環球晶,"333,000",0.09%
2313,華通,"843,000",0.09%
3211,順達,"458,000",0.08%
3217,優群,"830,000",0.06%
1303,南亞,"1,374,000",0.05%
2002,中鋼,"5,161,000",0.04%
1319,東陽,"509,000",0.02%
2357,華碩,"16,000",0%
1815,富喬,"107,000",0%
2439,美律,"16,000",0%
4979,華星光,"1,000",0%
5347,世界,"62,000",0%
