股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",11.06%
2383,台光電,"4,653,000",8.15%
2454,聯發科,"5,131,000",6.83%
2327,國巨*,"25,098,000",6.3%
6223,旺矽,"2,443,000",5.31%
2345,智邦,"6,334,000",5.28%
3037,欣興,"16,607,000",4.97%
3017,奇鋐,"5,295,000",4.51%
6669,緯穎,"2,417,000",4.51%
2303,聯電,"86,550,000",4.49%
8046,南電,"9,519,000",4.19%
3711,日月光投控,"16,135,000",3.84%
2308,台達電,"5,247,000",3.57%
3665,貿聯-KY,"4,833,848",3.51%
2368,金像電,"8,315,000",3.07%
3653,健策,"2,267,000",2.89%
6274,台燿,"5,160,000",2.31%
5274,信驊,"448,900",2.31%
8210,勤誠,"2,267,000",0.98%
6805,富世達,"1,811,000",0.94%
2449,京元電子,"6,197,000",0.67%
6187,萬潤,"1,334,000",0.5%
6147,頎邦,"6,275,000",0.41%
6510,精測,"349,000",0.36%
5439,高技,"3,234,000",0.32%
6515,穎崴,"130,000",0.31%
1590,亞德客-KY,"528,000",0.28%
6278,台表科,"4,334,000",0.27%
6271,同欣電,"2,966,000",0.23%
6191,精成科,"3,988,000",0.14%
3376,新日興,"1,741,000",0.13%
3264,欣銓,"1,508,000",0.12%
2002,中鋼,"5,163,000",0.04%
4966,譜瑞-KY,"140,000",0.03%
8996,高力,"1,000",0%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
4958,臻鼎-KY,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
