股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",9.75%
2383,台光電,"4,723,000",8.48%
2454,聯發科,"4,263,000",6.68%
2308,台達電,"6,572,000",5.58%
2345,智邦,"6,231,000",5.39%
2327,國巨*,"18,313,000",4.83%
3017,奇鋐,"5,141,000",4.71%
6223,旺矽,"2,169,000",4.56%
3037,欣興,"12,466,000",4.54%
6669,緯穎,"2,344,000",4.12%
3711,日月光投控,"17,948,000",4%
2368,金像電,"7,769,000",3.6%
2303,聯電,"71,190,000",3.59%
3665,貿聯-KY,"4,703,848",3.53%
8046,南電,"11,398,000",3.44%
3653,健策,"2,267,000",2.82%
5274,信驊,"422,000",2.67%
6274,台燿,"4,151,000",2.27%
6515,穎崴,"442,000",1.43%
6805,富世達,"1,761,000",1.1%
6510,精測,"930,000",1.08%
8210,勤誠,"2,167,000",1.02%
2449,京元電子,"8,268,000",0.94%
3533,嘉澤,"852,000",0.75%
2404,漢唐,"1,715,000",0.71%
6187,萬潤,"1,334,000",0.59%
3264,欣銓,"6,217,000",0.52%
5439,高技,"3,528,000",0.46%
6147,頎邦,"4,631,000",0.46%
8150,南茂,"11,635,000",0.43%
8996,高力,"1,034,000",0.4%
3008,大立光,"329,000",0.4%
8358,金居,"1,980,000",0.39%
4966,譜瑞-KY,"1,036,000",0.31%
6278,台表科,"3,734,000",0.3%
1590,亞德客-KY,"530,000",0.26%
3443,創意,"96,000",0.16%
6191,精成科,"3,988,000",0.14%
3376,新日興,"1,741,000",0.13%
6271,同欣電,"686,000",0.06%
2002,中鋼,"5,163,000",0.03%
2313,華通,"329,000",0.03%
1319,東陽,"511,000",0.02%
2357,華碩,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
